Ranking,Region,Broadband Internet Speed 2023
1,Monaco,261.82
2,Singapore,255.83
3,Hong Kong,254.7
4,Romania,232.17
5,Switzerland,229.96
6,Denmark,227.91
7,Thailand,225.17
8,Chile,217.6
9,France,214.04
10,South Korea,212.57
11,Hungary,210.55
12,Liechtenstein,204.78
13,United States,203.81
14,Spain,201.47
15,China,196.57
16,United Arab Emirates,189.07
17,Canada,183.81
18,Macau,178.9
19,Japan,178.76
20,Sweden,174.9
21,Luxembourg,172.05
22,Andorra,171.44
23,New Zealand,170.51
24,Norway,168.25
25,Netherlands,165
26,Israel,162.66
27,Portugal,162.55
28,Poland,156.33
29,Moldova,154.56
30,Taiwan,152.01
31,Kuwait,149.37
32,Lithuania,147.05
33,Malta,144.06
34,Panama,137.38
35,Germany,136.66
36,Latvia,135.22
37,Finland,135.05
38,Belgium,125.12
39,Ireland,122.55
40,San Marino,121.4
41,Slovenia,115.61
42,Slovakia,115.11
43,Qatar,113.88
44,Brazil,113.09
45,Barbados,109.41
46,Malaysia,107.55
47,Italy,104.09
48,United Kingdom,102.24
49,Russia,96
50,Saudi Arabia,94.64
51,Austria,94.31
52,Estonia,88.49
53,Serbia,86.77
54,Bulgaria,86.75
55,Trinidad and Tobago,85.8
56,Jordan,84.12
57,Australia,82.73
58,Vietnam,78.34
59,Ukraine,76.82
60,Bahrain,73.95
61,Paraguay,72.5
62,Colombia,72.19
63,Philippines,71.85
64,Uruguay,69.91
65,Belarus,69.41
66,Croatia,69.09
67,Oman,68.28
68,Guyana,65.93
69,India,64.03
70,Kazakhstan,63.28
71,Bahamas,61.75
72,Montenegro,60.03
73,Argentina,58.87
74,Peru,58.73
75,Grenada,57.07
76,Costa Rica,56.39
77,Cyprus,55.11
78,Mexico,54.88
79,South Africa,54.75
80,Saint Vincent and the Grenadines,53.77
81,Mongolia,53.53
82,Saint Lucia,52.3
83,Ghana,52.1
84,Kyrgyzstan,51.07
85,Bosnia and Herzegovina,48.51
86,Laos,48.16
87,Uzbekistan,45.88
88,Albania,45.55
89,Turkey,43.48
90,North Macedonia,43.24
91,Madagascar,42.84
92,Ivory Coast,40.64
93,Belize,40.62
94,Bangladesh,40.31
95,Egypt,39.97
96,Mauritius,39.85
97,Greece,39.08
98,Ecuador,39.07
99,Armenia,38.95
100,Jamaica,37.84
101,Saint Kitts and Nevis,35.45
101,Tajikistan,35.45
103,Senegal,35.01
104,Dominica,34.9
105,Brunei,34.59
106,Nepal,33.87
107,Dominican Republic,32.26
108,Iraq,31.66
109,Marshall Islands,31.64
110,Nicaragua,29.94
111,Palestine,29.46
112,Georgia,28.61
113,Cambodia,28.32
114,Indonesia,27.83
115,Bolivia,27.8
116,Maldives,27.42
117,Morocco,27.21
118,El Salvador,27.04
119,Cape Verde,26.94
120,Honduras,26.93
121,Rwanda,26.26
122,Sri Lanka,26.08
123,Liberia,25.68
124,Burkina Faso,25.54
125,Azerbaijan,25.1
126,Seychelles,24.9
127,Bhutan,24.76
128,Lesotho,24.64
129,Venezuela,23.92
130,Guatemala,23.72
131,Western Sahara,23.02
132,Micronesia,22.54
133,Gabon,22.5
134,Iran,21.36
135,Antigua and Barbuda,21.24
136,Mali,20.82
137,Fiji,20.76
137,Togo,20.76
139,Myanmar,20.69
140,Haiti,20.67
141,Tanzania,19.77
142,Namibia,19.58
143,Kenya,19.35
144,Somalia,18.98
145,Djibouti,18.27
146,Lebanon,18.22
147,Zimbabwe,17.81
148,Nigeria,17.65
149,Zambia,17.24
150,Benin,16.23
151,Vanuatu,16.18
152,Libya,16.12
153,Suriname,15.93
154,Angola,14.86
155,Ethiopia,14.17
156,Cameroon,13.94
157,Pakistan,13.84
158,Papua New Guinea,13.68
159,Sierra Leone,13.56
160,Uganda,13.55
161,Syria,12.72
162,Malawi,12.7
163,Gambia,12.24
164,Niger,11.68
165,Mauritania,11.55
166,Botswana,11.21
167,Burundi,11.18
168,Tunisia,11.13
169,Algeria,10.43
170,Mozambique,9.27
171,Guinea,8.84
172,Rwanda,8.26
173,Equatorial Guinea,7.95
174,Sudan,7.92
175,Yemen,7.59
176,Turkmenistan,4.11
177,Cuba,4.01
